Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
125.0,2003.0,8.0,58.0,415218,66257002.0
115.0,2004.0,8.0,90.0,657047,261441092.0
178.0,2003.0,8.0,60.0,137963,1530386.0
113.0,2001.0,8.0,88.0,740086,1480006.0
188.0,1999.0,8.0,77.0,289742,22455976.0
140.0,2000.0,8.0,61.0,102285,4184036.0
112.0,1999.0,8.0,86.0,82002,6203044.0
105.0,1998.0,8.0,82.0,78341,1647780.0
110.0,1998.0,8.0,80.0,36419,5595428.0
86.0,1999.0,8.0,85.0,172083,23159305.0
135.0,1996.0,8.0,84.0,86838,24475416.0
136.0,1996.0,8.0,91.0,37564,13417292.0
129.0,1995.0,8.0,74.0,578443,57141459.0
83.0,1995.0,8.0,76.0,129231,515905.0
76.0,1993.0,8.0,82.0,300208,75082668.0
101.0,1993.0,8.0,72.0,577991,70906973.0
180.0,1993.0,8.0,47.0,28825,4496583.0
156.0,1992.0,8.0,59.0,263918,63895607.0
90.0,1992.0,8.0,86.0,373845,217350219.0
189.0,1991.0,8.0,72.0,142110,70405498.0
84.0,1991.0,8.0,95.0,417178,218967620.0
181.0,1990.0,8.0,72.0,240266,184208848.0
120.0,1989.0,8.0,93.0,89429,27545445.0
133.0,1988.0,8.0,65.0,473064,178800000.0
98.0,1987.0,8.0,77.0,393899,30857814.0
128.0,1987.0,8.0,79.0,64722,3333969.0
104.0,1987.0,8.0,88.0,31163,4542825.0
107.0,1984.0,8.0,84.0,799795,38400000.0
191.0,1982.0,8.0,79.0,217664,52767889.0
130.0,1979.0,8.0,83.0,65625,30177511.0
93.0,1977.0,8.0,92.0,251823,39200000.0
124.0,1975.0,8.0,87.0,543388,260000000.0
125.0,1975.0,8.0,86.0,235652,50000000.0
106.0,1974.0,8.0,80.0,143359,86300000.0
151.0,1973.0,8.0,58.0,121627,53267000.0
122.0,1973.0,8.0,81.0,362393,232906145.0
118.0,1971.0,8.0,93.0,42456,29133000.0
181.0,1971.0,8.0,67.0,39491,80500000.0
113.0,1970.0,8.0,100.0,27067,541940.0
110.0,1969.0,8.0,66.0,201888,102308889.0
112.0,1968.0,8.0,79.0,165167,33395426.0
106.0,1967.0,8.0,83.0,253676,104945305.0
172.0,1965.0,8.0,63.0,205425,163214286.0
197.0,1965.0,8.0,69.0,69903,111722000.0
99.0,1964.0,8.0,65.0,198219,14500000.0
138.0,1963.0,8.0,91.0,108844,50690.0
134.0,1961.0,8.0,90.0,75067,8284000.0
174.0,1960.0,8.0,95.0,66621,19516000.0
141.0,1959.0,8.0,93.0,56305,12535000.0
161.0,1959.0,8.0,95.0,59847,11900000.0
95.0,1958.0,8.0,99.0,98431,2237659.0
108.0,1958.0,8.0,84.0,45062,17570324.0
92.0,1955.0,8.0,99.0,81980,654000.0
122.0,1951.0,8.0,97.0,99182,8000000.0
170.0,1946.0,8.0,93.0,57259,23650000.0
100.0,1941.0,8.0,96.0,148928,2108060.0
129.0,1940.0,8.0,96.0,85559,55000.0
102.0,1939.0,8.0,92.0,371379,2076020.0
152.0,1930.0,8.0,91.0,57318,3270000.0
75.0,1925.0,8.0,97.0,53054,50970.0
130.0,2019.0,7.9,82.0,454203,165359751.0
121.0,2018.0,7.9,93.0,62754,3313513.0
137.0,2019.0,7.9,94.0,246644,2000000.0
132.0,2017.0,7.9,93.0,212651,18095701.0
100.0,2016.0,7.9,78.0,53818,258168.0
101.0,2018.0,7.9,82.0,139114,32015231.0
101.0,2016.0,7.9,81.0,111483,5202582.0
118.0,2016.0,7.9,72.0,189400,5875006.0
